Treatment Pressure of Stage 1,Treatment Pressure of Stage 2,Treatment Pressure of Stage 3,Treatment Pressure of Stage 4,Treatment Pressure of Stage 5,Treatment Pressure of Stage 6,Treatment Volume of Stage 1,Treatment Volume of Stage 2,Treatment Volume of Stage 3,Treatment Volume of Stage 4,Treatment Volume of Stage 5,Treatment Volume of Stage 6,Fracture Spacing,NPV,Length of Fracture 1,Width of Fracture 1,Length of Fracture 2,Width of Fracture 2,Length of Fracture 3,Width of Fracture 3,Length of Fracture 4,Width of Fracture 4,Length of Fracture 5,Width of Fracture 5,Length of Fracture 6,Width of Fracture 6,Length of Fracture 7,Width of Fracture 7,Length of Fracture 8,Width of Fracture 8,Length of Fracture 9,Width of Fracture 9,Length of Fracture 10,Width of Fracture 10,Length of Fracture 11,Width of Fracture 11,Length of Fracture 12,Width of Fracture 12,Length of Fracture 13,Width of Fracture 13,Length of Fracture 14,Width of Fracture 14,Length of Fracture 15,Width of Fracture 15,Length of Fracture 16,Width of Fracture 16,Length of Fracture 17,Width of Fracture 17,Length of Fracture 18,Width of Fracture 18,Length of Fracture 19,Width of Fracture 19,Length of Fracture 20,Width of Fracture 20,Length of Fracture 21,Width of Fracture 21,Length of Fracture 22,Width of Fracture 22,Length of Fracture 23,Width of Fracture 23,Length of Fracture 24,Width of Fracture 24,Average of Fracture Length,Average of Fracture Width,Variation of Fracture Length,Variation of Fracture Width,Average Area of Fracture
28.716,27.064,25.1056,23.6272,29.7272,22.0,2148.0,2738.8,3074.8,3041.4,2400.4,2383.6,10.291,14651400,35.0401,0.0311778,21.983,0.00614,21.983,0.00614,35.0401,0.0311778,13.2572,5.8e-06,49.8693,0.0197471,26.1581,0.0016322,76.2073,0.0319402,12.0,0.0,52.3414,0.0057955,37.2781,0.0036612,145.968,0.0257305,12.0,0.0,77.6668,0.00629,17.7448,0.0001981,185.577,0.0183106,30.6065,0.0642327,17.6143,0.0001748,20.3925,0.0104691,27.88,0.0308293,12.0,0.0,15.0365,0.0016448,12.0,0.0002886,373.89,0.0109888,55.39724999999999,0.012773954166666669,6442.689587253913,0.0002569355252756341,0.20040215694125005
23.1248,22.3392,23.876,25.5792,27.5816,26.772,3367.2,2344.4,2388.0,3110.4,3341.0,3952.2,33.028,33547100,98.0634,0.0148844,92.0654,0.0132016,92.0654,0.0132016,98.0634,0.0148844,87.9576,0.0088463,99.685,0.0099682,99.2139,0.0099119,105.589,0.0111233,57.6278,0.0156383,57.6994,0.015036,57.8094,0.0150504,60.9919,0.0170268,48.7993,0.0215757,49.4441,0.0211691,49.5777,0.0212047,52.1379,0.0239802,35.8805,0.0271837,36.458,0.0270057,36.5937,0.0271046,38.1747,0.0305973,45.4503,0.0252521,47.2432,0.0256373,47.3392,0.0256968,49.7444,0.0290661,64.31977499999998,0.019343604166666663,595.7776973793477,4.676801182650362e-05,0.6094265374064582
25.3744,23.1664,26.1632,24.8888,28.1576,23.42,3936.0,2895.0,3975.0,2096.4,2085.8,2983.4,34.816,33885400,59.6614,0.0240073,57.0345,0.0216052,57.0345,0.0216052,59.6614,0.0240073,76.4189,0.0125486,84.4102,0.0134725,84.1669,0.0134425,88.8539,0.014978,51.09,0.025341,50.7858,0.0241996,50.9078,0.0242547,53.2031,0.0269953,37.9915,0.0163569,40.2711,0.0177471,40.5168,0.0178608,42.1595,0.0199044,22.778,0.0259259,22.9113,0.0256812,22.965,0.0257971,23.4672,0.0281928,76.5929,0.0149337,77.9536,0.0143258,77.7253,0.014374,81.8332,0.0159987,55.84974166666667,0.02014815,461.1697913547101,2.664677990695652e-05,0.5605443586693751
27.4328,27.6464,23.5448,24.264,29.2944,24.4632,2938.4,2862.0,2422.4,2540.2,2436.6,3371.6,13.39,18308100,51.01,0.0291859,33.3981,0.0108969,33.3981,0.0108969,51.01,0.0291859,33.5972,0.0109153,43.8795,0.0184387,35.3083,0.0098925,60.0447,0.0317004,12.0,0.0,76.4575,0.0076932,73.7409,0.0065463,156.25,0.0169726,61.6502,0.0285127,63.2178,0.0106747,42.8303,0.0056074,86.9769,0.0188983,32.1186,0.0375843,24.3434,0.0122693,24.478,0.0130418,31.869,0.0311445,12.0,0.0,105.338,0.0176494,52.9222,0.0056413,132.813,0.0207942,55.44382083333333,0.0160059375,1283.5677958225904,0.00011039097629635868,0.3880985015245833
29.6352,22.9832,22.7328,25.8488,28.4128,24.9952,3409.6,2843.4,2996.6,3998.2,3714.2,2244.2,29.326,30593500,29.9535,0.0358796,28.6335,0.0308061,28.6335,0.0308061,29.9535,0.0358796,78.7965,0.0110409,98.7366,0.0121639,93.4238,0.0117617,103.358,0.0139966,95.7963,0.0101702,109.35,0.0112915,106.558,0.0109976,118.391,0.0130357,56.7387,0.0235788,55.5019,0.02157,55.4929,0.0215074,59.7529,0.0253665,37.549,0.029458,38.045,0.0287887,38.18,0.0288077,40.5588,0.0339442,40.3652,0.0142991,46.7906,0.0176424,46.7906,0.0174366,50.1298,0.0206571,61.978316666666665,0.021286916666666666,893.3709163171014,7.720974622579708e-05,0.6520893823341667
24.1744,28.7648,28.28,28.4,27.4192,29.5496,3538.8,3944.4,3585.8,3569.2,3729.2,2253.2,38.866,34911700,70.173,0.0194452,67.7693,0.0179744,67.7693,0.0179744,70.173,0.0194452,37.0893,0.0350631,36.9653,0.0338871,37.0505,0.0339974,38.0719,0.0368052,34.6914,0.0307929,35.5714,0.0314693,35.6914,0.0316276,36.6545,0.0342365,35.2097,0.0317323,35.9246,0.0320738,36.0313,0.0322169,37.0069,0.0348729,39.6334,0.0285376,40.6858,0.0290249,40.8171,0.0291635,42.0252,0.03161,20.1838,0.0296442,20.4147,0.0302672,20.4609,0.030444,20.7248,0.0323218,39.866187499999995,0.029776141666666672,220.4139744472283,2.9799239162536235e-05,0.5919382279812501
24.2248,28.7552,27.4584,22.356,25.0768,26.832,3842.6,2982.2,2772.4,3731.0,2296.6,2783.8,15.937,20372400,113.419,0.0190445,70.4799,0.0099202,70.4799,0.0099202,113.419,0.0190445,37.7907,0.0320822,31.5746,0.0172822,31.1524,0.0164576,39.688,0.0318624,28.3543,0.0072159,44.6477,0.0212877,38.8067,0.0134409,55.0362,0.0299051,12.0,0.0,96.5526,0.0064364,113.033,0.0056215,185.443,0.0110499,54.2712,0.0214791,42.2381,0.0103815,40.9453,0.0097954,57.1999,0.0202425,42.2247,0.0184926,42.6675,0.0162995,39.2251,0.0128408,54.8756,0.027228,60.64685,0.016138774999999998,1485.0324922617394,7.170632295760868e-05,0.4388600999964583
26.9552,22.884,27.6976,22.6272,23.524,22.564,2985.0,3220.2,2501.0,3290.4,3598.6,3436.0,18.688,23811600,48.6622,0.0269253,39.7522,0.0166164,39.7522,0.0166164,48.6622,0.0269253,12.0,7.52e-05,153.324,0.0124281,107.729,0.0081016,176.091,0.0136802,35.5874,0.0271736,31.3985,0.0176457,31.2863,0.0172994,36.6824,0.0274495,12.0,0.0,164.19,0.0115932,111.407,0.0073514,185.075,0.0125104,93.2275,0.0121333,111.804,0.0122121,87.1655,0.009671,133.598,0.0162784,61.9163,0.0035234,153.533,0.009749,112.358,0.0073559,185.213,0.0122189,90.51727916666668,0.013563904166666666,3340.7209263625905,6.117836232128624e-05,0.6057058157316667
22.3928,24.4,23.3728,25.3736,29.9464,24.964,2982.0,3532.6,2761.2,3858.2,3991.4,3921.8,30.712,32759200,120.877,0.0114567,111.457,0.0099866,111.457,0.0099866,120.877,0.0114567,69.7657,0.0182724,69.2791,0.0172195,69.2124,0.0171739,74.3542,0.0198981,70.3822,0.0119616,79.7661,0.0135439,79.2184,0.0133613,85.6256,0.0155319,60.0971,0.0213661,60.4692,0.020586,60.5163,0.0205542,64.7769,0.0238197,33.9922,0.0361311,33.847,0.0342104,33.9554,0.0342997,35.6061,0.0395578,62.2055,0.0182924,69.793,0.0194833,68.9802,0.019358,74.2116,0.0224914,71.69675833333334,0.019999970833333325,628.759888125145,7.006975976650363e-05,0.7057905219224999
24.9352,28.5656,24.9976,28.9608,29.2048,22.4456,3733.8,2048.0,2652.8,2199.4,3976.8,3939.6,30.058,29827300,68.4806,0.0219887,63.7195,0.0188554,63.7195,0.0188554,68.4806,0.0219887,22.9118,0.0261805,22.938,0.0252836,23.0136,0.0254161,23.782,0.0290165,47.8612,0.0182291,49.8123,0.0180327,49.6504,0.018004,52.9817,0.0210736,23.3878,0.0277486,23.4255,0.0268025,23.5005,0.026927,24.3066,0.0307742,36.1665,0.0331053,36.5279,0.0318114,36.555,0.0318454,38.5838,0.0370997,118.681,0.0091453,167.876,0.0107799,153.131,0.0104003,172.933,0.0121006,58.851075,0.0229776875,2169.383355976739,5.905925538201087e-05,0.6532196693785416
27.1056,25.5752,25.9752,27.468,26.1608,29.7104,3288.8,2501.4,2920.6,2752.2,3055.6,2706.6,13.732,18390400,56.9079,0.028638,36.6999,0.0112316,36.6999,0.0112316,56.9079,0.028638,23.078,0.0021328,59.6886,0.015603,43.2695,0.0078494,83.1382,0.0246619,43.4368,0.0114577,57.7999,0.0158821,42.2137,0.0085451,78.1411,0.0258739,41.8301,0.0304708,40.0319,0.0144168,34.6511,0.0107669,54.6677,0.0297558,26.3545,0.0028523,64.6275,0.0187171,45.1734,0.0089576,87.68,0.0274178,34.075,0.0333418,28.5128,0.0161661,27.5545,0.0141558,37.5577,0.0348377,47.529066666666665,0.01806673333333333,314.5570096997102,9.642536193710144e-05,0.42642610017395827
29.7784,22.0328,28.5928,25.8696,26.5712,26.9752,2397.0,2512.2,2088.0,3148.6,3562.0,2611.4,29.878,28344700,25.3935,0.0344558,24.5142,0.0300688,24.5142,0.0300688,25.3935,0.0344558,12.0,0.0013028,159.167,0.009592,144.539,0.0083376,163.1,0.0097585,23.577,0.0284755,23.0418,0.0255051,23.0598,0.0255198,23.8215,0.0291312,46.3299,0.0216139,47.5818,0.0210242,47.4769,0.0210164,50.6425,0.0246354,46.3613,0.0234032,48.3179,0.0238312,48.3824,0.0237665,51.695,0.0278567,32.4336,0.0218842,33.7982,0.0229339,33.9729,0.0229959,35.8087,0.0268643,49.78844166666667,0.022854062499999998,1804.8958576651446,6.68088825911413e-05,0.4867299163164584
24.1168,29.072,26.712,22.1272,29.5608,25.5728,2469.8,2818.0,3989.0,3649.4,3301.2,3942.2,28.84,29980200,58.9657,0.0175496,54.7227,0.0147689,54.7227,0.0147689,58.9657,0.0175496,27.8177,0.0304197,27.4896,0.028095,27.564,0.0281545,28.8681,0.0330079,49.9201,0.0245924,52.1485,0.0242577,51.882,0.0241894,55.957,0.0287823,106.195,0.0064784,175.706,0.0092694,161.448,0.0086828,185.326,0.010304,29.4332,0.0347693,28.3768,0.0301653,28.3953,0.0301505,29.763,0.0353468,57.3807,0.0205137,61.903,0.0207363,61.1542,0.0205994,66.419,0.0245514,64.18849999999999,0.0224043,2148.559791590435,7.276844951999999e-05,0.66206191691625
26.7576,27.2024,23.12,25.4504,25.5944,29.5696,2661.8,2747.0,2296.6,3694.0,2162.6,2294.8,34.417,31928800,35.5321,0.0266894,34.323,0.0240056,34.323,0.0240056,35.5321,0.0266894,34.7745,0.025672,35.5756,0.0258653,35.6792,0.0259548,37.0182,0.0289277,65.5305,0.0121632,72.0263,0.0128251,71.7596,0.012815,75.6321,0.0143385,57.2362,0.0225697,57.2795,0.0217626,57.406,0.0218002,60.2222,0.0243361,34.7061,0.0189758,35.867,0.0196816,36.0609,0.0198116,37.4485,0.0221123,24.5604,0.0319191,24.67,0.0313242,24.7238,0.0314337,25.3461,0.0345845,43.4680375,0.02334429166666667,267.05102786940216,3.837439181992753e-05,0.503227713061875
29.0176,22.4248,27.9296,23.1192,24.9632,28.5688,3720.6,2955.6,3985.8,3761.6,2235.6,3361.2,15.262,19743500,45.3208,0.0342744,33.7261,0.0165011,33.7261,0.0165011,45.3208,0.0342744,12.0,0.0,27.2017,0.0019475,111.581,0.0078311,185.722,0.0111756,52.9478,0.043176,35.4335,0.0136848,36.1314,0.0151141,49.3564,0.0306932,12.0,0.0,135.409,0.0117344,91.4177,0.0061587,186.589,0.014851,55.1011,0.0193877,47.1721,0.0108633,42.4888,0.00882,64.2434,0.0204397,43.072,0.0318152,36.1979,0.0172796,34.8363,0.0154973,47.8667,0.0330632,61.03590000000002,0.017295141666666666,2265.979312915652,0.0001372546291573188,0.4591009582139583
23.1568,29.1072,22.6976,24.3336,27.7576,24.3512,2359.2,2434.4,3947.4,3962.4,2223.0,2022.4,10.066,15510200,120.678,0.0148213,34.99,0.0029782,34.99,0.0029782,120.678,0.0148213,30.6501,0.069094,16.1767,0.0,19.8789,0.0097398,26.7885,0.0279125,12.0,0.0,16.71,0.0020374,14.3698,0.0002347,416.867,0.0154361,45.1621,0.0199608,41.3686,0.0074052,72.9561,0.0063263,185.476,0.0209908,37.1062,0.0875115,18.0431,0.0,21.4809,0.0076031,31.963,0.0253151,12.0,0.0,62.6817,0.0126267,20.2964,0.0004131,107.424,0.020596,63.36396249999999,0.015366754166666665,7592.266689993749,0.00045890657494519933,0.38391390735958325
23.2624,28.384,25.636,27.1232,25.4136,24.9592,2074.6,2284.8,2393.0,3963.2,2169.2,2738.0,35.629,33483300,60.8403,0.0144632,58.3411,0.0130893,58.3411,0.0130893,60.8403,0.0144632,27.4865,0.0298626,27.2956,0.0284809,27.3473,0.0285695,28.06,0.0313063,37.8177,0.0201591,39.2083,0.0207474,39.3188,0.0208296,40.753,0.0230332,45.7153,0.0284235,46.2209,0.027824,46.3214,0.0279054,48.1885,0.0308683,35.9045,0.0180595,37.9976,0.0196198,38.2215,0.0197557,39.6212,0.0218651,47.2019,0.0191124,48.5812,0.0192299,48.7026,0.0192896,50.7066,0.0213502,43.29305,0.02214154166666667,105.5029572626087,3.267997317210145e-05,0.47809521772229163
25.384,27.304,27.4368,26.8696,22.8744,24.9664,2909.4,2754.6,3453.0,2217.8,2363.6,3337.6,35.338,33603000,48.1653,0.0229603,46.3195,0.0207398,46.3195,0.0207398,48.1653,0.0229603,31.9899,0.0258416,32.438,0.0257941,32.5484,0.0259114,33.6031,0.0286268,39.4111,0.0281229,40.186,0.0280087,40.2851,0.0281056,41.8172,0.0311434,30.1324,0.02264,31.2175,0.0237946,31.3574,0.0239402,32.3481,0.0264395,73.8164,0.01205,78.2564,0.0120962,77.9559,0.0121143,81.9263,0.013443,56.0616,0.0205535,56.1258,0.0198811,56.2665,0.0199272,58.7979,0.022091,47.729608333333324,0.022413554166666665,271.7452044303624,2.999063884172102e-05,0.5346341517158332
27.8504,28.2512,26.0432,24.9048,26.764,28.2056,3269.8,3141.0,3881.2,3449.8,2653.4,3100.0,14.683,19336300,49.0934,0.0303973,34.8467,0.0135334,34.8467,0.0135334,49.0934,0.0303973,34.2489,0.0137324,42.1826,0.0204368,36.7215,0.0133042,55.2089,0.03327,23.1035,0.0022295,79.1035,0.0205134,55.6437,0.0110344,103.265,0.0272473,33.8301,0.0033698,87.9143,0.0143018,63.1472,0.0096554,122.846,0.0226459,44.0459,0.0220178,40.7015,0.0145329,36.6337,0.0110195,54.2336,0.0268515,39.3238,0.0200767,41.4717,0.0190886,36.826,0.0134987,54.9481,0.0329946,52.219987499999995,0.01832010833333333,572.8830408915761,7.556666348775363e-05,0.4602460023031251
22.6088,28.108,26.2008,27.2176,29.336,24.2776,2705.8,2939.0,2060.2,2590.8,2183.6,3849.0,21.586,24127200,120.614,0.0119496,93.7726,0.008396,93.7726,0.008396,120.614,0.0119496,37.4644,0.0295553,34.1475,0.0218016,34.1021,0.0215818,38.4555,0.0301569,31.8349,0.0119499,39.8897,0.0182801,38.984,0.0165328,44.8942,0.0237512,35.3759,0.0191686,37.8921,0.0204599,37.4799,0.0193816,42.8779,0.0275186,25.2946,0.0235681,26.0025,0.0236125,26.0514,0.0230774,28.5485,0.0316899,63.5614,0.012088,103.354,0.0160818,82.7623,0.0133956,109.63,0.0195331,56.140666666666675,0.0193281625,1074.8429677118843,4.494210371375e-05,0.5233022900820834
25.1872,23.7984,28.4032,22.1704,29.0456,23.5248,3618.8,3811.8,2309.0,3378.2,3201.2,3436.6,14.332,20100100,87.3187,0.0226517,51.7693,0.0098047,51.7693,0.0098047,87.3187,0.0226517,20.7554,0.0016336,135.455,0.0138435,80.869,0.0078342,180.013,0.0181215,33.8663,0.0324109,26.5762,0.0130115,26.5293,0.0130783,34.179,0.0288244,12.0,0.0,135.555,0.0082075,147.015,0.0057248,357.345,0.0104681,38.9858,0.04503,26.8011,0.0123875,27.7164,0.0149475,35.9861,0.0317702,12.0,0.0,134.158,0.0141342,73.3877,0.0057098,173.839,0.0167746,82.96701250000001,0.014951037499999995,6205.682764793317,0.0001215997158615761,0.49228553486270826
29.472,22.3608,22.5224,23.1,27.1368,29.372,2141.2,3044.8,2837.0,3320.8,3116.8,2776.6,16.768,21305000,28.2229,0.0306626,24.3415,0.0179309,24.3415,0.0179309,28.2229,0.0306626,12.0,0.0,186.015,0.0103891,105.904,0.0052298,218.494,0.0113902,88.1777,0.0059036,151.098,0.0090085,96.7711,0.0061161,184.761,0.0119982,93.6288,0.0096616,130.889,0.0107767,87.702,0.0075866,158.87,0.0145394,47.3211,0.0285788,38.5439,0.0155071,37.916,0.0148811,49.3199,0.0275739,30.4383,0.0227289,30.7296,0.0208443,30.0273,0.0183286,37.0533,0.0335932,80.03286666666666,0.015909279166666665,3801.299000464927,8.453210003302537e-05,0.5705861288370834
25.7224,29.9968,22.3552,25.7016,22.8144,28.5952,3124.8,2781.6,3756.4,3587.6,2863.4,2002.2,32.221,31437500,46.9791,0.023915,44.7101,0.0210245,44.7101,0.0210245,46.9791,0.023915,24.8542,0.032803,24.9553,0.0319993,25.029,0.032137,25.8052,0.0360539,133.206,0.0102587,155.421,0.010379,146.637,0.0102908,159.878,0.0116565,54.06,0.0235995,52.9167,0.0217994,52.9612,0.0217907,55.9614,0.0248111,84.9478,0.0108418,99.3259,0.0119303,97.3995,0.0117526,104.84,0.0134305,23.5724,0.0285127,23.2658,0.0265113,23.2978,0.0265687,23.9403,0.0296563,65.65220416666666,0.0215275875,2082.378245883895,6.93476470915761e-05,0.6868272304943751
28.4704,23.888,27.9904,23.8696,24.3792,22.3168,2624.4,2921.2,2387.0,3093.2,2512.0,2162.4,16.672,21133100,34.736,0.029472,28.7048,0.0164472,28.7048,0.0164472,34.736,0.029472,12.0,0.0,104.718,0.0159127,68.4954,0.0083866,120.571,0.0177964,35.1839,0.0271319,30.6487,0.016398,30.301,0.015581,37.3076,0.0283791,12.0,0.0,111.912,0.0159904,72.3328,0.0085622,128.882,0.0178396,54.6381,0.0103467,69.965,0.0132487,55.7292,0.0092382,86.7802,0.0190601,12.0,0.0006131,138.524,0.0084823,92.2131,0.0052769,180.459,0.0109989,65.89760833333334,0.01421171666666666,2091.165783928623,7.495310673449274e-05,0.47307517410729155
